evaluation,experiment,comparison,level,error_type,code,n_cases
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_negative_phy_code_missed_by_llm,01-01-00,156
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_negative_phy_code_missed_by_llm,01-04-02,151
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_negative_phy_code_missed_by_llm,03-03-00,106
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_negative_phy_code_missed_by_llm,03-06-00,63
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_negative_phy_code_missed_by_llm,03-00-00,53
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_negative_phy_code_missed_by_llm,01-04-00,47
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_negative_phy_code_missed_by_llm,01-00-00,46
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_negative_phy_code_missed_by_llm,01-01-01,44
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_negative_phy_code_missed_by_llm,01-01-05,41
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_negative_phy_code_missed_by_llm,03-04-00,38
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_negative_phy_code_missed_by_llm,03-01-02,37
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_negative_phy_code_missed_by_llm,04-00-00,34
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_negative_phy_code_missed_by_llm,01-01-04,33
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_negative_phy_code_missed_by_llm,03-01-00,30
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_negative_phy_code_missed_by_llm,01-01-06,29
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_negative_phy_code_missed_by_llm,05-05-00,28
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_negative_phy_code_missed_by_llm,03-08-01,23
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_negative_phy_code_missed_by_llm,03-06-04,22
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_negative_phy_code_missed_by_llm,03-08-00,22
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_negative_phy_code_missed_by_llm,05-00-00,22
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_negative_phy_code_missed_by_llm,04-05-00,21
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_negative_phy_code_missed_by_llm,01-04-03,19
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_negative_phy_code_missed_by_llm,05-03-00,19
