evaluation,metric_type,comparison,level,reference,predicted,n_cases,confusion_type
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,,03-01-01,37,EXTRA_FROM_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,,03-09-01,26,EXTRA_FROM_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,03-01-01,,25,MISSED_BY_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,,03-08-00,23,EXTRA_FROM_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,,01-01-04,19,EXTRA_FROM_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,,03-08-99,18,EXTRA_FROM_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,,03-05-01,18,EXTRA_FROM_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,,03-99-00,16,EXTRA_FROM_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,03-01-04,,15,MISSED_BY_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,,03-04-99,14,EXTRA_FROM_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,,03-01-99,13,EXTRA_FROM_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,,03-01-04,12,EXTRA_FROM_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,,01-01-00,12,EXTRA_FROM_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,,01-05-00,12,EXTRA_FROM_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,01-04-02,,11,MISSED_BY_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,03-08-01,,10,MISSED_BY_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,,01-04-01,9,EXTRA_FROM_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,,01-99-00,9,EXTRA_FROM_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,,03-07-99,9,EXTRA_FROM_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,,03-02-00,8,EXTRA_FROM_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,,01-01-01,8,EXTRA_FROM_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,,03-07-01,8,EXTRA_FROM_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,03-08-00,,7,MISSED_BY_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,03-05-01,,6,MISSED_BY_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,,01-04-02,6,EXTRA_FROM_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,,01-01-99,6,EXTRA_FROM_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,,03-04-01,6,EXTRA_FROM_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,,01-01-05,6,EXTRA_FROM_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,,03-03-99,6,EXTRA_FROM_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,03-09-01,,5,MISSED_BY_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,,03-01-02,5,EXTRA_FROM_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,,04-99-00,5,EXTRA_FROM_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,03-04-02,,4,MISSED_BY_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,,04-02-00,4,EXTRA_FROM_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,,00-02-00,4,EXTRA_FROM_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,01-04-00,,3,MISSED_BY_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,01-01-01,,3,MISSED_BY_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,05-03-00,,3,MISSED_BY_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,,01-01-06,3,EXTRA_FROM_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,,03-02-02,3,EXTRA_FROM_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,,03-03-02,3,EXTRA_FROM_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,,03-06-99,3,EXTRA_FROM_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,,03-04-02,3,EXTRA_FROM_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,,05-03-00,3,EXTRA_FROM_LLM
