stratum,stratum_value,experiment,metric_type,comparison,n_compared,n_agree,agreement,left_missing,right_missing
vatype,1,EXP1,direct,EXP1_direct vs PHY_direct,273,95,0.34798534798534797,0,3214
vatype,1,EXP1,underlying,EXP1_underlying vs PHY_underlying,2453,1356,0.5527924989808398,0,1034
vatype,1,EXP1,contributory,EXP1_contrib_set contains PHY_contrib,220,119,0.5409090909090909,142,3265
vatype,1,EXP2,direct,EXP2_direct vs PHY_direct,273,74,0.27106227106227104,11,3214
vatype,1,EXP2,underlying,EXP2_underlying vs PHY_underlying,2447,1186,0.4846751123825092,7,1034
vatype,1,EXP2,contributory,EXP2_contrib_set contains PHY_contrib,209,108,0.5167464114832536,617,3265
vatype,1,EXP3,direct,EXP3_direct vs PHY_direct,256,103,0.40234375,409,3214
vatype,1,EXP3,underlying,EXP3_underlying vs PHY_underlying,2289,1118,0.48842289209261686,408,1034
vatype,1,EXP3,contributory,EXP3_contrib_set contains PHY_contrib,154,66,0.42857142857142855,1162,3265
vatype,1,EXP4,direct,EXP4_direct vs PHY_direct,272,61,0.22426470588235295,3,3214
vatype,1,EXP4,underlying,EXP4_underlying vs PHY_underlying,2451,1161,0.47368421052631576,3,1034
vatype,1,EXP4,contributory,EXP4_contrib_set contains PHY_contrib,210,125,0.5952380952380952,559,3265
vatype,2,EXP1,direct,EXP1_direct vs PHY_direct,39,18,0.46153846153846156,0,1010
vatype,2,EXP1,underlying,EXP1_underlying vs PHY_underlying,912,445,0.48793859649122806,0,137
vatype,2,EXP1,contributory,EXP1_contrib_set contains PHY_contrib,27,7,0.25925925925925924,83,1021
vatype,2,EXP2,direct,EXP2_direct vs PHY_direct,39,11,0.28205128205128205,3,1010
vatype,2,EXP2,underlying,EXP2_underlying vs PHY_underlying,911,379,0.41602634467618005,1,137
vatype,2,EXP2,contributory,EXP2_contrib_set contains PHY_contrib,19,3,0.15789473684210525,295,1021
vatype,2,EXP3,direct,EXP3_direct vs PHY_direct,36,13,0.3611111111111111,103,1010
vatype,2,EXP3,underlying,EXP3_underlying vs PHY_underlying,869,402,0.4626006904487917,103,137
vatype,2,EXP3,contributory,EXP3_contrib_set contains PHY_contrib,21,8,0.38095238095238093,339,1021
vatype,2,EXP4,direct,EXP4_direct vs PHY_direct,39,11,0.28205128205128205,1,1010
vatype,2,EXP4,underlying,EXP4_underlying vs PHY_underlying,911,393,0.4313940724478595,1,137
vatype,2,EXP4,contributory,EXP4_contrib_set contains PHY_contrib,22,9,0.4090909090909091,282,1021
vatype,3,EXP1,direct,EXP1_direct vs PHY_direct,18,8,0.4444444444444444,0,596
vatype,3,EXP1,underlying,EXP1_underlying vs PHY_underlying,501,326,0.6506986027944112,0,113
vatype,3,EXP1,contributory,EXP1_contrib_set contains PHY_contrib,7,2,0.2857142857142857,72,607
vatype,3,EXP2,direct,EXP2_direct vs PHY_direct,16,7,0.4375,3,596
vatype,3,EXP2,underlying,EXP2_underlying vs PHY_underlying,499,165,0.3306613226452906,2,113
vatype,3,EXP2,contributory,EXP2_contrib_set contains PHY_contrib,3,0,0.0,304,607
vatype,3,EXP3,direct,EXP3_direct vs PHY_direct,17,6,0.35294117647058826,117,596
vatype,3,EXP3,underlying,EXP3_underlying vs PHY_underlying,421,307,0.7292161520190024,117,113
vatype,3,EXP3,contributory,EXP3_contrib_set contains PHY_contrib,4,2,0.5,240,607
vatype,3,EXP4,direct,EXP4_direct vs PHY_direct,18,10,0.5555555555555556,3,596
vatype,3,EXP4,underlying,EXP4_underlying vs PHY_underlying,501,175,0.34930139720558884,1,113
