evaluation,metric_type,comparison,n_compared,n_agree,agreement,left_missing,right_missing,n_exact_set_agree,exact_set_agreement,n_any_overlap,any_overlap
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,330,121,0.36666666666666664,0.0,4820.0,,,,
Evaluation 1: EXP1 vs PHY,underlying,EXP1_underlying vs PHY_underlying,3866,2127,0.5501810657009829,0.0,1284.0,,,,
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set contains PHY_contrib,254,128,0.5039370078740157,297.0,4893.0,,,,
Evaluation 2: EXP3 vs PHY,direct,EXP3_direct vs PHY_direct,309,122,0.3948220064724919,629.0,4820.0,,,,
Evaluation 2: EXP3 vs PHY,underlying,EXP3_underlying vs PHY_underlying,3579,1827,0.5104777870913663,628.0,1284.0,,,,
Evaluation 2: EXP3 vs PHY,contributory,EXP3_contrib_set contains PHY_contrib,179,76,0.4245810055865922,1741.0,4893.0,,,,
Evaluation 3: EXP2 vs EXP1 vs PHY,direct,EXP2_direct vs PHY_direct,328,92,0.2804878048780488,17.0,4820.0,,,,
Evaluation 3: EXP2 vs EXP1 vs PHY,underlying,EXP2_underlying vs PHY_underlying,3857,1730,0.44853513093077524,10.0,1284.0,,,,
Evaluation 3: EXP2 vs EXP1 vs PHY,contributory,EXP2_contrib_set contains PHY_contrib,231,111,0.4805194805194805,1216.0,4893.0,,,,
Evaluation 3: EXP2 vs EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,330,121,0.36666666666666664,0.0,4820.0,,,,
Evaluation 3: EXP2 vs EXP1 vs PHY,underlying,EXP1_underlying vs PHY_underlying,3866,2127,0.5501810657009829,0.0,1284.0,,,,
Evaluation 3: EXP2 vs EXP1 vs PHY,contributory,EXP1_contrib_set contains PHY_contrib,254,128,0.5039370078740157,297.0,4893.0,,,,
Evaluation 3: EXP2 vs EXP1 vs PHY,direct_llm_pair,EXP2_direct vs EXP1_direct,5133,2018,0.393142411844925,17.0,0.0,,,,
Evaluation 3: EXP2 vs EXP1 vs PHY,underlying_llm_pair,EXP2_underlying vs EXP1_underlying,5140,2799,0.5445525291828793,10.0,0.0,,,,
Evaluation 3: EXP2 vs EXP1 vs PHY,contributory_llm_pair,EXP2_contrib_set vs EXP1_contrib_set,3837,2368,0.617148814177743,,,504.0,0.1313526192337764,2368.0,0.617148814177743
Evaluation 4: EXP2 vs EXP4 vs PHY,direct,EXP2_direct vs PHY_direct,328,92,0.2804878048780488,17.0,4820.0,,,,
Evaluation 4: EXP2 vs EXP4 vs PHY,underlying,EXP2_underlying vs PHY_underlying,3857,1730,0.44853513093077524,10.0,1284.0,,,,
Evaluation 4: EXP2 vs EXP4 vs PHY,contributory,EXP2_contrib_set contains PHY_contrib,231,111,0.4805194805194805,1216.0,4893.0,,,,
Evaluation 4: EXP2 vs EXP4 vs PHY,direct,EXP4_direct vs PHY_direct,329,82,0.24924012158054712,7.0,4820.0,,,,
Evaluation 4: EXP2 vs EXP4 vs PHY,underlying,EXP4_underlying vs PHY_underlying,3863,1729,0.4475796013461041,5.0,1284.0,,,,
Evaluation 4: EXP2 vs EXP4 vs PHY,contributory,EXP4_contrib_set contains PHY_contrib,234,134,0.5726495726495726,1118.0,4893.0,,,,
Evaluation 4: EXP2 vs EXP4 vs PHY,direct_llm_pair,EXP2_direct vs EXP4_direct,5126,2729,0.5323839250877878,17.0,7.0,,,,
Evaluation 4: EXP2 vs EXP4 vs PHY,underlying_llm_pair,EXP2_underlying vs EXP4_underlying,5135,3525,0.6864654333008764,10.0,5.0,,,,
Evaluation 4: EXP2 vs EXP4 vs PHY,contributory_llm_pair,EXP2_contrib_set vs EXP4_contrib_set,3540,2684,0.7581920903954802,,,776.0,0.2192090395480226,2684.0,0.7581920903954802
