evaluation,metric_type,comparison,level,reference,predicted,n_cases,confusion_type
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,full,,03-01-01,44,EXTRA_FROM_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,full,,03-09-01,36,EXTRA_FROM_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,full,03-01-01,,30,MISSED_BY_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,full,,03-08-00,28,EXTRA_FROM_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,full,,03-05-01,25,EXTRA_FROM_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,full,,01-01-04,23,EXTRA_FROM_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,full,,03-99-00,21,EXTRA_FROM_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,full,,03-08-99,19,EXTRA_FROM_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,full,,03-01-99,17,EXTRA_FROM_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,full,03-01-04,,16,MISSED_BY_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,full,,03-01-04,15,EXTRA_FROM_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,full,,03-04-99,15,EXTRA_FROM_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,full,,01-05-00,13,EXTRA_FROM_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,full,,01-01-00,12,EXTRA_FROM_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,full,01-04-02,,11,MISSED_BY_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,full,03-08-01,,11,MISSED_BY_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,full,,03-07-01,11,EXTRA_FROM_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,full,,01-04-01,10,EXTRA_FROM_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,full,,03-01-02,10,EXTRA_FROM_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,full,,01-01-01,10,EXTRA_FROM_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,full,,03-03-99,10,EXTRA_FROM_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,full,,01-99-00,10,EXTRA_FROM_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,full,,03-07-99,10,EXTRA_FROM_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,full,,03-02-00,8,EXTRA_FROM_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,full,03-05-01,,7,MISSED_BY_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,full,03-08-00,,7,MISSED_BY_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,full,,01-04-02,7,EXTRA_FROM_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,full,,01-01-99,7,EXTRA_FROM_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,full,,03-04-01,7,EXTRA_FROM_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,full,,01-01-05,6,EXTRA_FROM_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,full,03-09-01,,5,MISSED_BY_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,full,,00-02-00,5,EXTRA_FROM_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,full,,03-04-02,5,EXTRA_FROM_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,full,,03-02-02,5,EXTRA_FROM_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,full,,04-99-00,5,EXTRA_FROM_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,full,01-04-00,,4,MISSED_BY_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,full,01-01-01,,4,MISSED_BY_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,full,03-04-02,,4,MISSED_BY_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,full,,01-01-06,4,EXTRA_FROM_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,full,,03-02-99,4,EXTRA_FROM_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,full,,04-02-00,4,EXTRA_FROM_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,full,03-00-00,,3,MISSED_BY_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,full,05-03-00,,3,MISSED_BY_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,full,,01-04-99,3,EXTRA_FROM_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,full,,03-03-02,3,EXTRA_FROM_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,full,,BLANK,3,EXTRA_FROM_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,full,,03-02-01,3,EXTRA_FROM_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,full,,01-04-03,3,EXTRA_FROM_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,full,,03-06-99,3,EXTRA_FROM_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,full,,05-03-00,3,EXTRA_FROM_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,full,,05-99-00,3,EXTRA_FROM_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,full,,05-05-00,3,EXTRA_FROM_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,full,01-00-00,,2,MISSED_BY_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,full,03-04-00,,2,MISSED_BY_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,full,03-09-00,,2,MISSED_BY_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,full,01-01-00,,2,MISSED_BY_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,full,,01-03-00,2,EXTRA_FROM_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,full,,03-01-03,2,EXTRA_FROM_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,full,,03-03-01,2,EXTRA_FROM_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,full,,05-04-00,2,EXTRA_FROM_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,full,03-02-02,,1,MISSED_BY_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,full,04-00-00,,1,MISSED_BY_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,full,03-02-01,,1,MISSED_BY_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,full,01-05-00,,1,MISSED_BY_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,full,04-02-00,,1,MISSED_BY_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,full,04-01-00,,1,MISSED_BY_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,full,03-06-00,,1,MISSED_BY_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,full,03-01-02,,1,MISSED_BY_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,full,04-05-00,,1,MISSED_BY_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,full,01-01-04,,1,MISSED_BY_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,full,03-07-01,,1,MISSED_BY_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,full,05-04-00,,1,MISSED_BY_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,full,03-04-01,,1,MISSED_BY_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,full,05-05-00,,1,MISSED_BY_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,full,03-03-00,,1,MISSED_BY_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,full,02-00-00,,1,MISSED_BY_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,full,,03-05-99,1,EXTRA_FROM_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,full,,03-06-06,1,EXTRA_FROM_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,full,,04-01-00,1,EXTRA_FROM_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,full,,03-06-00,1,EXTRA_FROM_LLM
