stratum,comparison_type,comparison,level,n_compared,mean_jaccard,median_jaccard,q25_jaccard,q75_jaccard,n_exact_set_match,exact_set_match,n_any_overlap,any_overlap
overall,flexible_pooled_any_type,EXP1_pooled_any_type vs PHY_pooled_any_type,level1,3882,0.6875751330929074,0.5,0.5,1.0,1620,0.41731066460587324,3776,0.9726944873776404
overall,contributory_vs_phy,EXP1_contrib_set vs PHY_contrib,level1,257,0.7088197146562906,1.0,0.5,1.0,138,0.5369649805447471,227,0.8832684824902723
overall,flexible_pooled_any_type,EXP2_pooled_any_type vs PHY_pooled_any_type,level1,3882,0.6518976472608622,0.5,0.5,1.0,1577,0.4062339000515198,3577,0.9214322514167954
overall,contributory_vs_phy,EXP2_contrib_set vs PHY_contrib,level1,257,0.6290531776913101,0.5,0.5,1.0,120,0.4669260700389105,204,0.7937743190661478
overall,flexible_pooled_any_type,EXP3_pooled_any_type vs PHY_pooled_any_type,level1,3882,0.662137214494247,0.5,0.5,1.0,1821,0.46908809891808345,3371,0.868366821226172
overall,contributory_vs_phy,EXP3_contrib_set vs PHY_contrib,level1,257,0.5090791180285344,0.5,0.0,1.0,115,0.4474708171206226,147,0.5719844357976653
overall,flexible_pooled_any_type,EXP4_pooled_any_type vs PHY_pooled_any_type,level1,3882,0.652284046024386,0.5,0.5,1.0,1563,0.4026275115919629,3595,0.9260690365790829
overall,contributory_vs_phy,EXP4_contrib_set vs PHY_contrib,level1,257,0.6413748378728924,0.5,0.5,1.0,121,0.4708171206225681,209,0.8132295719844358
overall,contributory_llm_pair,EXP1_contrib_set vs EXP2_contrib_set,level1,4950,0.557070707070707,0.5,0.0,1.0,2183,0.441010101010101,3346,0.675959595959596
overall,contributory_llm_pair,EXP1_contrib_set vs EXP3_contrib_set,level1,4919,0.47253845632581154,0.5,0.0,1.0,1766,0.3590160601748323,2898,0.589144134986786
overall,contributory_llm_pair,EXP1_contrib_set vs EXP4_contrib_set,level1,4933,0.6006824785458477,0.5,0.0,1.0,2409,0.48834380701398744,3533,0.7161970403405635
overall,contributory_llm_pair,EXP2_contrib_set vs EXP3_contrib_set,level1,4580,0.3886280931586608,0.0,0.0,1.0,1318,0.28777292576419217,2251,0.49148471615720524
overall,contributory_llm_pair,EXP2_contrib_set vs EXP4_contrib_set,level1,4426,0.6362027413767133,1.0,0.0,1.0,2334,0.5273384545865342,3302,0.746046091278807
overall,contributory_llm_pair,EXP3_contrib_set vs EXP4_contrib_set,level1,4623,0.3908176508760545,0.0,0.0,1.0,1326,0.28682673588578844,2300,0.4975124378109453
