evaluation,metric_type,comparison,level,class_metric_kind,class,support,tp,fp,fn,precision,recall,f1,cohen_kappa_one_vs_rest
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,single_label,00-02-00,0,0,3,0,0.0,,,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,single_label,00-03-00,0,0,1,0,0.0,,,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,single_label,00-04-00,0,0,1,0,0.0,,,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,single_label,01-00-00,14,0,0,14,,0.0,,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,single_label,01-01-00,13,1,3,12,0.25,0.07692307692307693,0.11764705882352941,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,single_label,01-01-01,12,7,5,5,0.5833333333333334,0.5833333333333334,0.5833333333333334,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,single_label,01-01-02,11,7,6,4,0.5384615384615384,0.6363636363636364,0.5833333333333334,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,single_label,01-01-04,25,9,12,16,0.42857142857142855,0.36,0.391304347826087,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,single_label,01-01-05,9,4,6,5,0.4,0.4444444444444444,0.4210526315789474,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,single_label,01-01-06,28,6,6,22,0.5,0.21428571428571427,0.3,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,single_label,01-01-99,0,0,2,0,0.0,,,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,single_label,01-03-00,3,0,2,3,0.0,0.0,,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,single_label,01-04-00,3,0,0,3,,0.0,,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,single_label,01-04-01,28,7,2,21,0.7777777777777778,0.25,0.3783783783783784,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,single_label,01-04-02,2,1,22,1,0.043478260869565216,0.5,0.08,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,single_label,01-04-03,6,2,0,4,1.0,0.3333333333333333,0.5,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,single_label,01-05-00,2,2,10,0,0.16666666666666666,1.0,0.2857142857142857,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,single_label,02-03-00,2,2,2,0,0.5,1.0,0.6666666666666666,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,single_label,02-05-00,2,0,0,2,,0.0,,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,single_label,03-00-00,3,0,0,3,,0.0,,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,single_label,03-01-00,4,0,0,4,,0.0,,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,single_label,03-01-01,1,0,4,1,0.0,0.0,,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,single_label,03-01-02,33,19,3,14,0.8636363636363636,0.5757575757575758,0.6909090909090909,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,single_label,03-01-03,4,3,4,1,0.42857142857142855,0.75,0.5454545454545454,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,single_label,03-01-04,42,26,9,16,0.7428571428571429,0.6190476190476191,0.6753246753246753,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,single_label,03-01-99,0,0,3,0,0.0,,,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,single_label,03-02-00,0,0,34,0,0.0,,,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,single_label,03-02-01,0,0,1,0,0.0,,,
